Resort_Name,google_search_name,Resort_INS_hashtag,twitter_id
laurel-mountain,laurel-mountain skiresort,laurelmountainskiresort,4451244195
lost-valley,lost-valley skiresort,lostvalleyskiarea,833085722
lost-trail-powder-mountain,lost-trail-powder-mountain skiresort,losttrailpowdermountain,196693597
loup-loup-ski-bowl,loup-loup-ski-bowl skiresort,louploupskibowl,70702296
loveland,loveland skiresort,louploupskibowl,27430245
mad-river-glen,mad-river-glen skiresort,madriverglenskiitifyoucan,48212062
mammoth-mountain,mammoth-mountain skiresort,mammothmountain,18222861
maple-ski-ridge,maple-ski-ridge skiresort,mapleskiridge,27013582
marquette-mountain,marquette-mountain skiresort,marquettemountain,87754517
middlebury-college-snow-bowl,middlebury-college-snow-bowl skiresort,middleburycollegesnowbowl,1630088600
mohawk-mountain,mohawk-mountain skiresort,mohawkmountain,211516785
montage-mountain-resort,montage-mountain-resort skiresort,montagemountainresort,87343361
montana-snowbowl,montana-snowbowl skiresort,montanasnowbowl,222840646
mont-du-lac,mont-du-lac skiresort,montdulac,205557692
mt-abram,mt-abram skiresort,mtabram,435164997
mountain-creek-vernon,mountain-creek-vernon skiresort,mountaincreekvernon,103382276
moose-mountain,moose-mountain skiresort,moosemountain,69878597
mount-ski-gull,mount-ski-gull skiresort,mountskigull,3752190738
mt-waterman,mt-waterman skiresort,mtwaterman,4519873769
mt-ashland,mt-ashland skiresort,mtashland,223581640
mt-bachelor,mt-bachelor skiresort,mtbachelorskiresort,15919596
mt-brighton,mt-brighton skiresort,mtbrighton,36050587
mt-hood-meadows,mt-hood-meadows skiresort,mthoodmeadows,19300415
mt-rose,mt-rose skiresort,mtrose,18364195
mt-shasta-ski-park,mt-shasta-ski-park skiresort,mtshastaskipark,145770062
mt-southington,mt-southington skiresort,mtsouthington,2196471128
mt-spokane,mt-spokane skiresort,mtspokane,18795186
mulligans-hollow-ski-bowl,mulligans-hollow-ski-bowl skiresort,mulliganshollowskibowl,2837134794
nordic-mountain,nordic-mountain skiresort,nordicmountain,56395422
nordic-valley,nordic-valley skiresort,nordicvalley,2446076226
northstar-california-resort,northstar-california-resort skiresort,northstarcaliforniaresort,17844641
norway-mountain,norway-mountain skiresort,norwaymountain,58980551
ober-gatlinburg,ober-gatlinburg skiresort,obergatlinburgskiresort,73880613
oglebay-resort,oglebay-resort skiresort,oglebayskilodge,107429407
okemo,okemo skiresort,okemo,15516549
the-omni-homestead,the-omni-homestead skiresort,theomnihomestead,69393926
otis-ridge,otis-ridge skiresort,otisridge,963099577
pando-park,pando-park skiresort,pandopark,2927252617
paoli-peaks,paoli-peaks skiresort,paolipeaks,98403353
pats-peak,pats-peak skiresort,patspeak,17923607
park-city,park-city skiresort,parkcity,16935955
peekn-peak,peekn-peak skiresort,peeknpeak,15157083
petoskey-winter-sports-park,petoskey-winter-sports-park skiresort,petoskeyskiteam,267399975
pico-mountain,pico-mountain skiresort,picomountain,47326671
plattekill,plattekill skiresort,plattekill,26490897
powder-ridge,powder-ridge skiresort,powderridge,121902300
powder-ridge-mountain-park-resort,powder-ridge-mountain-park-resort skiresort,powderridgemountainparkresort,836594130
powder-mountain,powder-mountain skiresort,powdermountain,19037608
quoggy-jo-ski-center-presque-isle,quoggy-jo-ski-center-presque-isle skiresort,quoggyjo,2288234227
ragged-mountain,ragged-mountain skiresort,raggedmountain,90701732
raging-buffalo-algonquin,raging-buffalo-algonquin skiresort,ragingbuffalo,58704335
red-lodge-mountain,red-lodge-mountain skiresort,redlodgemountain,82210161
alyeska-resort-girdwood,alyeska-resort-girdwood skiresort,alyeskaresortgirdwood,35872795
rocking-horse-ranch,rocking-horse-ranch skiresort,rockinghorseranch111,221584173
monarch,monarch skiresort,skimonarch,236919921
rotarun,rotarun skiresort,rotarunskiarea,252244814
roundtop,roundtop skiresort,roundtopskiresort,88060253
saddleback,saddleback skiresort,saddleback111,28121122
schweitzer-mountain-resort,schweitzer-mountain-resort skiresort,schweitzermountainresort,20190857
sterling-forest-ski-center,sterling-forest-ski-center skiresort,sterlingforeststatepark,2657399365
shanty-creek-resorts-schuss-mountain,shanty-creek-resorts-schuss-mountain skiresort,shantycreekresorts,16927499
shawnee-peak,shawnee-peak skiresort,shawneepeakme,25324244
shu-maker-mountain-little-falls,shu-maker-mountain-little-falls skiresort,shumakermountain,72561220
sierra-at-tahoe,sierra-at-tahoe skiresort,sierraattahoeskiresort,15458596
silver-ridge,silver-ridge skiresort,silverridge1,1173020280
silver-mountain,silver-mountain skiresort,silvermountain,388950860
silverton-mountain,silverton-mountain skiresort,silvertonmountain,16366552
sipapu,sipapu skiresort,sipapu,26337285
sitzmark,sitzmark skiresort,sitzmark,141300193
ski-brule,ski-brule skiresort,skibrule,90676093
tamarack-resort,tamarack-resort skiresort,tamarackresort,194712295
apache,apache skiresort,apacheski,26335230
belleayre-mountain,belleayre-mountain skiresort,belleayremountain,31134433
bigrock-mountain,bigrock-mountain skiresort,bigrockmountain,370129433
big-tupper-tupper-lake,big-tupper-tupper-lake skiresort,bigtupper,78892105
blackhawk-ski-club-middleton,blackhawk-ski-club-middleton skiresort,blackhawkskiclub,2789197900
bluewood,bluewood skiresort,bluewoodski,74201022
bousquet,bousquet skiresort,bousquetskiarea,138528530
mt-hood-skibowl,mt-hood-skibowl skiresort,mthoodskibowl,18616341
buckhorn-ski-and-snowboard-club,buckhorn-ski-and-snowboard-club skiresort,buckhornskiclub,271255623
burke-mountain,burke-mountain skiresort,burkemountain,114303624
camelback,camelback skiresort,skicamelback,22296450
cataloochee,cataloochee skiresort,cataloocheeskiarea,26033178
cazenovia,cazenovia skiresort,cazenoviaskiclub,228072489
cooper,cooper skiresort,skicooper,96790384
crested-butte,crested-butte skiresort,skicrestedbutte,40305346
eaglecrest-juneau,eaglecrest-juneau skiresort,eaglecrestskiarea,1908573858
eagle-point,eagle-point skiresort,eaglepoint,195752070
homewood-mountain-resort,homewood-mountain-resort skiresort,homewoodmountainresort,11388972
indianhead-mountain,indianhead-mountain skiresort,indianheadmountainskiing,61769266
jack-frost-mountain,jack-frost-mountain skiresort,ackfrostmountain,91120199
liberty-mountain,liberty-mountain skiresort,skilibertymountain,78609027
lookout-pass,lookout-pass skiresort,lookoutpass,41172905
mad-river-mountain,mad-river-mountain skiresort,madrivermountain,58771579
magic-mountain,magic-mountain skiresort,magicmountainskiresort,47949944
mount-pleasant,mount-pleasant skiresort,mountpleasant,224427199
nashoba-valley,nashoba-valley skiresort,nashobavalley,35837881
pajarito-mountain,pajarito-mountain skiresort,pajaritomountain,26342031
pine-knob,pine-knob skiresort,pineknob,432860324
purgatory-durango,purgatory-durango skiresort,purgatorydurango,41433870
perfect-north-slopes,perfect-north-slopes skiresort,perfectnorthslopes,44507440
santa-fe,santa-fe skiresort,santafeski,26332548
sapphire-valley,sapphire-valley skiresort,sapphirevalleyskiresort,4076778442
shawnee-mountain,shawnee-mountain skiresort,shawneemountain,69374705
snow-creek,snow-creek skiresort,snowcreekskiresort,179130990
snow-snake,snow-snake skiresort,snowsnake,78690654
snowstar,snowstar skiresort,snowstarski,335677797
snow-valley,snow-valley skiresort,snowvalley,43944264
soda-springs,soda-springs skiresort,sodaspringsskiresort,2786357792
sunlight-mountain,sunlight-mountain skiresort,sunlightmountain,43144360
swiss-valley,swiss-valley skiresort,swissvalley,51612931
tenney-mountain,tenney-mountain skiresort,tenneymountain,3316312744
beaver-mountain,beaver-mountain skiresort,beavermountain,2894844846
mt-lemmon-ski-valley,mt-lemmon-ski-valley skiresort,mtlemmonskivalley,4895747658
titus-mountain,titus-mountain skiresort,titusmountain,418870989
turner-mountain,turner-mountain skiresort,turnermountain,1138572728
west-mountain,west-mountain skiresort,westmountainskiresort,163909051
whiteface-lake-placid,whiteface-lake-placid skiresort,whitefacelakeplacid,21317149
whitefish-mountain-resort,whitefish-mountain-resort skiresort,whitefishmountainresort,11954772
wildcat-mountain,wildcat-mountain skiresort,wildcatmountain,15110064
wild-mountain,wild-mountain skiresort,wildmountainskiarea,175748320
sky-tavern,sky-tavern skiresort,skytavern,34463481
snowbasin,snowbasin skiresort,snowbasinskipatrol,42325818
snowbird,snowbird skiresort,snowbird,24749103
snow-king-mountain-jackson,snow-king-mountain-jackson skiresort,snowkingmountain,959127228
snowmass,snowmass skiresort,snowmassski,29235153
snow-ridge,snow-ridge skiresort,snowridge,2213198364
snowshoe-mountain,snowshoe-mountain skiresort,snowshoemountain,19604954
snow-trails,snow-trails skiresort,snowtrails,30019296
snowy-range,snowy-range skiresort,snowyrangeski,170857718
soldier-mountain,soldier-mountain skiresort,soldiermountain,274898405
solitude,solitude skiresort,solitudeskiresort,15896538
spirit-mountain,spirit-mountain skiresort,spiritmountain,94841305
alpine-meadows,alpine-meadows skiresort,alpinemeadows,24569387
squaw-valley,squaw-valley skiresort,squawvalleyskiresort,24569387
storrs-hill-lebanon,storrs-hill-lebanon skiresort,storrshill,2209860746
stowe,stowe skiresort,skistowe,18925174
sugar-bowl,sugar-bowl skiresort,sugarbowlskiresort,15533986
sugarbush,sugarbush skiresort,sugarbush,20936540
the-summit-at-snoqualmie,the-summit-at-snoqualmie skiresort,thesummitatsnoqualmie,399432982
sunburst,sunburst skiresort,sunburstskiarea,92756699
sunday-river,sunday-river skiresort,sundayriverskiresort,17844215
sundown-mountain-resort,sundown-mountain-resort skiresort,sundownmountainresort,298562320
sunrise-park,sunrise-park skiresort,sunrisepark,596980926
dollar-mountain-sun-valley,dollar-mountain-sun-valley skiresort,dollarmountainsunvalley,14480521
swain,swain skiresort,swainskiresort,216733892
taos,taos skiresort,taosski,26330496
telluride,telluride skiresort,telluride,14427372
terry-peak,terry-peak skiresort,terrypeakskiarea,54653659
the-homestead-resort,the-homestead-resort skiresort,thehomesteadresort,45152737
timber-ridge,timber-ridge skiresort,timberridgeski,69019712
timberline,timberline skiresort,timberlineskiresort,16407807
tussey-mountain,tussey-mountain skiresort,tusseymountain,72938259
tuxedo-ridge,tuxedo-ridge skiresort,tuxedoridgeskicenter,27665681
tyrol-basin-mt-horeb,tyrol-basin-mt-horeb skiresort,tyrolbasinparks,84417694
vail,vail skiresort,skivail,19742740
valdez-heli-ski-guides,valdez-heli-ski-guides skiresort,valdezheliskiguides,26145042
villa-roma,villa-roma skiresort,villaromaski,35220433
wachusett-mountain,wachusett-mountain skiresort,wachusettmountain,386104816
waterville-valley,waterville-valley skiresort,watervillevalley,18307340
welch-village,welch-village skiresort,welchvillage,25193430
whisper-ridge,whisper-ridge skiresort,whisperridge,3301634538
white-pass,white-pass skiresort,whitepass,23949036
whitetail,whitetail skiresort,whitetailskiresort,17816668
willard-mountain-greenwich,willard-mountain-greenwich skiresort,willardmountain,1409217188
wilmot-mountain,wilmot-mountain skiresort,wilmotmountain,94430965
windham-mountain,windham-mountain skiresort,windhammountain,16300235
wintergreen-resort,wintergreen-resort skiresort,wintergreenresort,62900163
winter-park-resort,winter-park-resort skiresort,winterparkresort,14660933
winterplace,winterplace skiresort,winterplaceskiresort,50630464
wolf-creek,wolf-creek skiresort,wolfcreekski,71064211
wolf-ridge,wolf-ridge skiresort,wolfridgeskiresort,80042076
yawgoo-valley,yawgoo-valley skiresort,yawgoovalley,247003625
yellowstone-club,yellowstone-club skiresort,yellowstoneclub,100573976
49-degrees-north-mountain-resort,49-degrees-north-mountain-resort skiresort,49degreesnorth,0
abenaki,abenaki skiresort,abenaki,0
aldis-hill-park-st-albans,aldis-hill-park-st-albans skiresort,aldishill,0
