Resort_Name,google_search_name,Resort_INS_hashtag,twitter_id
teton-pass,teton-pass skiresort,tetonpassskiarea,0
thunder-ridge,thunder-ridge skiresort,thunderridgeski,0
timberline-four-seasons,timberline-four-seasons skiresort,timberlinefourseasons,0
titcomb-mountain,titcomb-mountain skiresort,titcombmountain,0
toggenburg-ski-center,toggenburg-ski-center skiresort,toggenburgskicenter,0
triangle-sports-area-green-bay,triangle-sports-area-green-bay skiresort,trianglesportsareagreenbay,0
trollhaugen,trollhaugen skiresort,trollhaugen,0
val-bialas-ski-center-utica,val-bialas-ski-center-utica skiresort,valbialas,0
villa-olivia-bartlett,villa-olivia-bartlett skiresort,villaoliviabartlett,0
ward-hill-shrewsbury,ward-hill-shrewsbury skiresort,wardhillshrewsbury111,0
warner-canyon-lakeview,warner-canyon-lakeview skiresort,warnercanyonskiarea,0
wenatchee-mission-ridge,wenatchee-mission-ridge skiresort,wenatcheemissionridge111,0
whaleback,whaleback skiresort,whaleback,0
white-pine-pinedale,white-pine-pinedale skiresort,whitepineskiresort,0
whitetail-ridge-fort-mccoy,whitetail-ridge-fort-mccoy skiresort,whitetailresort,0
willamette-pass-crescent,willamette-pass-crescent skiresort,willamettepass,0
winter-park-kewaunee-county,winter-park-kewaunee-county skiresort,winterparkresort,0
winterclub-indoor-ski-snowboard-winter-park,winterclub-indoor-ski-snowboard-winter-park skiresort,winterclubindoorski,0
wisp-mchenry-deep-creek-lake,wisp-mchenry-deep-creek-lake skiresort,wispmchenrydeepcreeklake,0
woods-valley,woods-valley skiresort,woodsvalley,0
