Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
bogus-basin,bogus-basin skiresort,bogusbasin,Bogus Basin,BOGUSBASIN,North America,USA,Idaho,http://www.skiresort.info/ski-resort/bogus-basin/,2311,11,22,17,59,49,25,3.7
bolton-valley,bolton-valley skiresort,boltonvalley,Bolton Valley,BoltonValley,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bolton-valley/,960,15,10,5,74,0,64,2
boyne-highlands,boyne-highlands skiresort,boynehighlands,Boyne Highlands ,Boyne_Highlands,North America,USA,Michigan,http://www.skiresort.info/ski-resort/boyne-highlands/,408,4,3,3,89,79,69,3.2
breckenridge,breckenridge skiresort,breckenridge,Breckenridge Ski,BreckSkiGolf,North America,USA,Colorado,http://www.skiresort.info/ski-resort/breckenridge/,3914,28,60,65,164,0,107,4
bretton-woods,bretton-woods skiresort,brettonwoods,Bretton Woods,bretton_woods,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/bretton-woods/,945,25,16,15,89,68,53,3.8
bridger-bowl-bozeman,bridger-bowl-bozeman skiresort,bridgerbowlskipatrol,Bridger Bowl,BridgerBowl,North America,USA,Montana,http://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,2682,20,26,25,60,0,22,3
bristol-mountain,bristol-mountain skiresort,bristolmountain,Bristol Mountain,BristolMountain,North America,USA,New York,http://www.skiresort.info/ski-resort/bristol-mountain/,670,6,10,4,72,0,57,3.6
bromley-mountain,bromley-mountain skiresort,bromleymountain,Bromley Mountain,BromleyMountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bromley-mountain/,1001,15,18,12,79,69,56,null
brundage-mountain,brundage-mountain skiresort,brundagemountain,Brundage Mountain,BrundageMtn,North America,USA,Idaho,http://www.skiresort.info/ski-resort/brundage-mountain/,2328,6,15,9,64,37,23,3.4
bryce-resort,bryce-resort skiresort,bryceresort,Bryce Resort,BryceResort,North America,USA,Virginia,http://www.skiresort.info/ski-resort/bryce-resort/,533,2,2.8,0.2,65,0,58,3
buck-hill-ski-area,buck-hill-ski-area skiresort,buckhillskiarea,Buck Hill,buckhillmn,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/buck-hill-ski-area/,371,1.2,0.8,0.2,44,0,32,2.7
buffalo-ski-club,buffalo-ski-club skiresort,buffaloskiclub,Buffalo Ski Club,buffaloskiclub,North America,USA,New York,http://www.skiresort.info/ski-resort/buffalo-ski-club/,512,5,4,2,55,0,44,null
caberfae-peaks,caberfae-peaks skiresort,caberfaepeaks,Caberfae Peaks,CaberfaePeaks,North America,USA,Michigan,http://www.skiresort.info/ski-resort/caberfae-peaks/,465,4,5,2,47,42,37,3
camden-snow-bowl,camden-snow-bowl skiresort,camdensnowbowl,Camden Snow Bowl,camdensnowbowl,North America,USA,Maine,http://www.skiresort.info/ski-resort/camden-snow-bowl/,320,1.2,3.6,1.2,39,0,34,null
canaan-valley,canaan-valley skiresort,canaanvalleyskiresort,Canaan Valley Resort,CannanResort,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/canaan-valley/,1304,3,4,3,68,0,47,null
cannon-mountain,cannon-mountain skiresort,cannonmountain,Cannon Mountain,cannonmountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cannon-mountain/,1243,15,25,10,75,62,53,3.2
cannonsburg-ski-area,cannonsburg-ski-area skiresort,cannonsburgskiarea,Cannonsburg Ski Area,cannonsburgski,North America,USA,Michigan,http://www.skiresort.info/ski-resort/cannonsburg-ski-area/,280,0.5,1,0.5,37,0,27,null
cascade-mountain,cascade-mountain skiresort,cascademountain,Cascade Mountain,CascadeMountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/cascade-mountain/,378,5,5,4,0,0,0,null
catamount,catamount skiresort,catamountski,Catamount Ski Area,CatamountSki,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/catamount/,580,8,4,3,66,0,56,3
chester-bowl-park,chester-bowl-park skiresort,chesterbowlparks,Chester Bowl,chester_bowl,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/chester-bowl-park/,380,0.6,0,0,10,0,0,3
chestnut-mountain,chestnut-mountain skiresort,chestnutmountainresort,Chestnut Mountain,ChestnutMtn,North America,USA,Illinois,http://www.skiresort.info/ski-resort/chestnut-mountain/,335,2,3,1,52,0,40,null
