Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
montana-snowbowl,montana-snowbowl skiresort,montanasnowbowl,Montana Snowbowl Inc,MontanaSnowbowl,North America,USA,Montana,http://www.skiresort.info/ski-resort/montana-snowbowl/,2316,5,12,14,47,44,20,2.9
mont-du-lac,mont-du-lac skiresort,montdulac,Mont du Lac,montdulac,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mont-du-lac/,280,0.5,1.4,2,40,0,25,null
mt-abram,mt-abram skiresort,mtabram,Mt Abram,MountAbram,North America,USA,Maine,http://www.skiresort.info/ski-resort/mt-abram/,610,3.5,7,4,59,0,49,null
mountain-creek-vernon,mountain-creek-vernon skiresort,mountaincreekvernon,Mountain Creek,mountain_creek,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/mountain-creek-vernon/,451,4,14,6,69,0,54,3.4
moose-mountain,moose-mountain skiresort,moosemountain,Mountain Moose,Mountain_Moose,North America,USA,Alaska,http://www.skiresort.info/ski-resort/moose-mountain/,595,3,12,10,39,34,29,1
mount-prospect-lancaster,mount-prospect-lancaster skiresort,mountprospectlancaster,Mount Prospect ,MountProspect,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mount-prospect-lancaster/,520,0.5,0.3,0,7,0,5,1
mount-ski-gull,mount-ski-gull skiresort,mountskigull,Mount Ski Gull,mountskigull,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/mount-ski-gull/,443,0.7,0.7,0.7,31,0,24,2.5
mt-waterman,mt-waterman skiresort,mtwaterman,Mount Waterman,mt_waterman,North America,USA,California,http://www.skiresort.info/ski-resort/mt-waterman/,2440,2,2,6,50,40,20,3
mt-ashland,mt-ashland skiresort,mtashland,Mt Ashland Ski Area,mtashland,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-ashland/,2286,1,7,5,46,0,36,3
mt-bachelor,mt-bachelor skiresort,mtbachelorskiresort,Mt. Bachelor,mtbachelor,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-bachelor/,2763,15,25,60,96,78,54,4
mt-baldy,mt-baldy skiresort,mtbaldyskilifts,Mt Baldy Resort,MtBladyResort,North America,USA,California,http://www.skiresort.info/ski-resort/mt-baldy/,2620,3,6,11,69,49,39,3
mt-brighton,mt-brighton skiresort,mtbrighton,Mt Brighton Ski Area,MtBrighton,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-brighton/,340,1,3.5,1.7,63,0,0,2.7
mt-hood-meadows,mt-hood-meadows skiresort,mthoodmeadows,Mt. Hood Meadows,mthoodmeadows,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-hood-meadows/,2225,13.5,45,31.5,82,0,49,3.9
mt-rose,mt-rose skiresort,mtrose,MtRoseSkiTahoe,MtRoseSkiTahoe,North America,USA,Western United States,http://www.skiresort.info/ski-resort/mt-rose/,2957,20,30,50,125,0,75,3.5
mt-shasta-ski-park,mt-shasta-ski-park skiresort,mtshastaskipark,Mt Shasta Ski Park,MtShastaSkiPark,North America,USA,California,http://www.skiresort.info/ski-resort/mt-shasta-ski-park/,2100,5,8,10,58,0,32,3
mt-southington,mt-southington skiresort,mtsouthington,Mount Southington,MtSouthington,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mt-southington/,173,2,3,0.8,58,0,48,3
mt-spokane,mt-spokane skiresort,mtspokane,Mt. Spokane,mtspokane,North America,USA,Washington State,http://www.skiresort.info/ski-resort/mt-spokane/,1795,7,5,14,55,0,45,3
mulligans-hollow-ski-bowl,mulligans-hollow-ski-bowl skiresort,mulliganshollowskibowl,Mulligans Hollow,MullyHollowGH,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,233,1,1,1,16,0,0,null
nordic-mountain,nordic-mountain skiresort,nordicmountain,Nordic Mountain,NordicMountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/nordic-mountain/,346,2,3,1.5,44,0,30,2.6
nordic-valley,nordic-valley skiresort,nordicvalley,Nordic valley ,NordicValleySki,North America,USA,Utah,http://www.skiresort.info/ski-resort/nordic-valley/,1930,2.5,4,3,45,0,35,3
northstar-california-resort,northstar-california-resort skiresort,northstarcaliforniaresort,Northstar California,Northstar_CA,North America,USA,Western United States,http://www.skiresort.info/ski-resort/northstar-california-resort/,2624,25,45,27,152,125,90,4.1
norway-mountain,norway-mountain skiresort,norwaymountain,Norway Mountain,NorwayMountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/norway-mountain/,406,2.5,3.5,2,45,37,25,2.8
ober-gatlinburg,ober-gatlinburg skiresort,obergatlinburgskiresort,Ober Gatlinburg,OberGatlinburg,North America,USA,Tennessee,http://www.skiresort.info/ski-resort/ober-gatlinburg/,1006,0.5,2,0.5,65,0,55,null
oglebay-resort,oglebay-resort skiresort,oglebayskilodge,Oglebay Resort,OglebayResort,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/oglebay-resort/,0,1,0,0,26,0,21,3
okemo,okemo skiresort,okemo,OkemoMountain,OkemoMountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/okemo/,1019,22,26,22,110,97,84,3.7
the-omni-homestead,the-omni-homestead skiresort,theomnihomestead,The Omni Homestead,OmniHomestead,North America,USA,Virginia,http://www.skiresort.info/ski-resort/the-omni-homestead/,930,1,1,1,0,0,0,null
otis-ridge,otis-ridge skiresort,otisridge,Otis Ridge,OtisRidge,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/otis-ridge/,480,1.2,1.5,1,40,35,15,2.5
pando-park,pando-park skiresort,pandopark,Pando Park,PandoPark,North America,USA,Michigan,http://www.skiresort.info/ski-resort/pando-park/,300,1,0.3,0,22,0,19,null
paoli-peaks,paoli-peaks skiresort,paolipeaks,Paoli Peaks,paoli_peaks,North America,USA,Indiana,http://www.skiresort.info/ski-resort/paoli-peaks/,251,2.6,3,1,42,0,36,3
pats-peak,pats-peak skiresort,patspeak,Pats Peak Ski Area,patspeak,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/pats-peak/,426,10,8,15,66,0,56,2.9
park-city,park-city skiresort,parkcity,Park City,PCski,North America,USA,Utah,http://www.skiresort.info/ski-resort/park-city/,3049,27,152,71,145,0,93,3.9
pebble-creek,pebble-creek skiresort,pebblecreekskiarea,PebbleCreekSkiArea,PebbleSkiArea,North America,USA,Idaho,http://www.skiresort.info/ski-resort/pebble-creek/,2609,6,9,4,43,0,29,3
peekn-peak,peekn-peak skiresort,peeknpeak,Peek'n Peak Resort,peeknpeak,North America,USA,New York,http://www.skiresort.info/ski-resort/peekn-peak/,535,4,8,3,59,0,46,null
petoskey-winter-sports-park,petoskey-winter-sports-park skiresort,petoskeyskiteam,Petoskey Parks & Rec,petoskeyparks,North America,USA,Michigan,http://www.skiresort.info/ski-resort/petoskey-winter-sports-park/,241,0.2,0,0,0,0,0,null
pico-mountain,pico-mountain skiresort,picomountain,Pico Mountain,PicoMountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/pico-mountain/,1209,6.8,15,8.6,74,0,57,3.8
plattekill,plattekill skiresort,plattekill,Plattekill Mountain,Plattekill,North America,USA,New York,http://www.skiresort.info/ski-resort/plattekill/,1014,4.5,6,6,61,50,48,2.9
potawatomi-park,potawatomi-park skiresort,potawatomistatepark,Potawatomi Park,PotawatomiPark,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/potawatomi-park/,0,0,0,0,0,0,0,null
powder-ridge,powder-ridge skiresort,powderridge,Powder Ridge ,PowderRidge,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/powder-ridge/,432,2,1.5,0.5,48,0,0,2.8
powder-ridge-mountain-park-resort,powder-ridge-mountain-park-resort skiresort,powderridgemountainparkresort,Powder Ridge Park,powderridgepark,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,245,2.5,2,1,55,0,44,3
powder-mountain,powder-mountain skiresort,powdermountain,Powder Mountain,PowMow,North America,USA,Utah,http://www.skiresort.info/ski-resort/powder-mountain/,2712,30,50,55,85,0,47,3.2
quoggy-jo-ski-center-presque-isle,quoggy-jo-ski-center-presque-isle skiresort,quoggyjo,Quoggy Jo Ski Center,QuoggyJo,North America,USA,Maine,http://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,275,0.8,0,0,8,0,0,1.5
ragged-mountain,ragged-mountain skiresort,raggedmountain,Ragged Mountain,raggedmtnNH,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/ragged-mountain/,680,4.5,10,8,79,65,55,3.9
raging-buffalo-algonquin,raging-buffalo-algonquin skiresort,ragingbuffalo,Raging Buffalo,raging_buffalo,North America,USA,Illinois,http://www.skiresort.info/ski-resort/raging-buffalo-algonquin/,260,0.3,0.2,0,45,0,0,1
red-lodge-mountain,red-lodge-mountain skiresort,redlodgemountain,Red Lodge Mountain,RedLodgeMntn,North America,USA,Montana,http://www.skiresort.info/ski-resort/red-lodge-mountain/,2870,11,30,24,53,42,22,3.4
alyeska-resort-girdwood,alyeska-resort-girdwood skiresort,alyeskaresortgirdwood,Alyeska Resort ,resortalyeska,North America,USA,Alaska,http://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,840,14,31,17,85,68,39,3.5
cherry-peak,cherry-peak skiresort,cherrypeak,Cherry Peak Resort,ResortPeak,North America,USA,Utah,http://www.skiresort.info/ski-resort/cherry-peak/,2635,5,10,5,42,0,32,3
rocking-horse-ranch,rocking-horse-ranch skiresort,rockinghorseranch111,Rocking Horse Ranch,RHRanch,North America,USA,New York,http://www.skiresort.info/ski-resort/rocking-horse-ranch/,214,0.3,0,0,0,0,0,1
monarch,monarch skiresort,skimonarch,Monarch Guiding,RockiesSkiing,North America,USA,Colorado,http://www.skiresort.info/ski-resort/monarch/,3630,5,14,12,74,45,30,3
the-rock-snow-park,the-rock-snow-park skiresort,therocksnowpark,RockSnowPark,RockSnowPark1,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/the-rock-snow-park/,270,1,0,0,40,0,0,null
rotarun,rotarun skiresort,rotarunskiarea,Rotarun Ski Area,RotarunSkiArea,North America,USA,Idaho,http://www.skiresort.info/ski-resort/rotarun/,1790,1,2,1.5,20,0,10,1.5
roundtop,roundtop skiresort,roundtopskiresort,Roundtop,roundtopmtn,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/roundtop/,410,1.5,3,3,68,0,56,3
saddleback,saddleback skiresort,saddleback111,Saddleback Maine,SaddlebackMaine,North America,USA,Maine,http://www.skiresort.info/ski-resort/saddleback/,1220,4,8,10,69,0,59,2.9
sandia-peak,sandia-peak skiresort,sandiapeakskiarea,Sandia Peak Ski Area,Sandia_Peak_Ski,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/sandia-peak/,3140,8,20,3,55,45,40,2.8
schweitzer-mountain-resort,schweitzer-mountain-resort skiresort,schweitzermountainresort,Schweitzer Mountain,SchweitzerID,North America,USA,Idaho,http://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,1950,20,40,35,79,0,50,3.6
sterling-forest-ski-center,sterling-forest-ski-center skiresort,sterlingforeststatepark,Sterling Forest,SFRTuxedo,North America,USA,New York,http://www.skiresort.info/ski-resort/sterling-forest-ski-center/,0,0,0,0,0,0,0,null
shanty-creek-resorts-schuss-mountain,shanty-creek-resorts-schuss-mountain skiresort,shantycreekresorts,Shanty Creek Resorts,ShantyCreek,North America,USA,Michigan,http://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,356,5,4,3,69,59,54,3
shawnee-peak,shawnee-peak skiresort,shawneepeakme,Shawnee Peak Maine,ShawneePeakME,North America,USA,Maine,http://www.skiresort.info/ski-resort/shawnee-peak/,550,4,12,7,65,0,50,3
shu-maker-mountain-little-falls,shu-maker-mountain-little-falls skiresort,shumakermountain,Shu Maker,ShuMakerMT,North America,USA,New York,http://www.skiresort.info/ski-resort/shu-maker-mountain-little-falls/,0,0,0,0,0,0,0,null
sierra-at-tahoe,sierra-at-tahoe skiresort,sierraattahoeskiresort,Sierra-at-Tahoe,Sierra_at_Tahoe,North America,USA,Western United States,http://www.skiresort.info/ski-resort/sierra-at-tahoe/,2698,12,23,11.5,104,94,43,3
silver-ridge,silver-ridge skiresort,silverridge1,Silver Ridge,SilverResorts,North America,USA,Michigan,http://www.skiresort.info/ski-resort/silver-ridge/,0,0,0,0,0,0,0,null
silver-mountain,silver-mountain skiresort,silvermountain,SilverStar Mountain Resort,SilverStarMR,North America,USA,Idaho,http://www.skiresort.info/ski-resort/silver-mountain/,1920,4,8,13,60,0,45,3.8
silverton-mountain,silverton-mountain skiresort,silvertonmountain,Silverton Mountain,SilvertonMtn,North America,USA,Colorado,http://www.skiresort.info/ski-resort/silverton-mountain/,3790,0,0,0,59,0,0,null
sipapu,sipapu skiresort,sipapu,Sipapu Ski Resort,SipapuNM,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/sipapu/,2825,3,7,8,45,39,29,2.8
sitzmark,sitzmark skiresort,sitzmark,sitzmark sports,sitzmarksports,North America,USA,Washington State,http://www.skiresort.info/ski-resort/sitzmark/,1485,2,3,2.5,35,28,22,2.8
ski-brule,ski-brule skiresort,skibrule,Ski Brule,ski_brule,North America,USA,Michigan,http://www.skiresort.info/ski-resort/ski-brule/,565,2,4,1.5,49,0,43,2.7
hesperus-ski-area,hesperus-ski-area skiresort,hesperusskiarea,Hesperus Ski Area,ski_hesperus,North America,USA,Colorado,http://www.skiresort.info/ski-resort/hesperus-ski-area/,2706,3,5,2,39,33,28,2.8
tamarack-resort,tamarack-resort skiresort,tamarackresort,Tamarack Resort,Ski_Tamarack,North America,USA,Idaho,http://www.skiresort.info/ski-resort/tamarack-resort/,2347,12,20,10,69,44,30,4
apache,apache skiresort,apacheski,Ski Apache,SkiApache,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/apache/,3475,12,18,25,56,49,40,3.4
belleayre-mountain,belleayre-mountain skiresort,belleayremountain,Belleayre Mountain,SkiBelleayre,North America,USA,New York,http://www.skiresort.info/ski-resort/belleayre-mountain/,1045,5,11,4,68,58,46,3.6
bigrock-mountain,bigrock-mountain skiresort,bigrockmountain,Bigrock Mountain,SkiBigrockMaine,North America,USA,Maine,http://www.skiresort.info/ski-resort/bigrock-mountain/,498,2,14,4,38,27,17,3
big-tupper-tupper-lake,big-tupper-tupper-lake skiresort,bigtupper,SkiBigTuooer,SkiBigTupper,North America,USA,New York,http://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,1082,5,5,2,0,0,0,null
blackhawk-ski-club-middleton,blackhawk-ski-club-middleton skiresort,blackhawkskiclub,Blackhawk Ski School,SkiBlackhawk,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,328,0.6,0.2,0,0,0,0,1
bluewood,bluewood skiresort,bluewoodski,Ski Bluewood,skibluewood,North America,USA,Washington State,http://www.skiresort.info/ski-resort/bluewood/,1730,3,5,3,39,0,32,null
bousquet,bousquet skiresort,bousquetskiarea,Ski Bousquet,skibousquet,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/bousquet/,566,3,2,3,47,0,0,null
mt-hood-skibowl,mt-hood-skibowl skiresort,mthoodskibowl,Mt Hood Skibowl,skibowl,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-hood-skibowl/,1510,15,15,35,53,0,32,2.9
buckhorn-ski-and-snowboard-club,buckhorn-ski-and-snowboard-club skiresort,buckhornskiclub,ski buckhorn,skibuckhorn,North America,USA,California,http://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,2253,0.2,0.6,0.4,0,0,0,null
burke-mountain,burke-mountain skiresort,burkemountain,Burke Mountain,skiburke,North America,USA,Vermont,http://www.skiresort.info/ski-resort/burke-mountain/,975,2,4,4,64,55,47,3.7
butternut-basin,butternut-basin skiresort,butternutbasin,Ski Butternut,SkiButtermut,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/butternut-basin/,540,4.4,13.2,4.4,65,0,55,null
camelback,camelback skiresort,skicamelback,Camelback Mountain,skicamelback,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/camelback/,623,20,11,3,67,0,49,3.3
cataloochee,cataloochee skiresort,cataloocheeskiarea,Cataloochee Ski Area,skiCataloochee,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/cataloochee/,1583,1.5,3,1.5,65,0,47,3
cazenovia,cazenovia skiresort,cazenoviaskiclub,Cazenovia Ski Club,skicaz,North America,USA,New York,http://www.skiresort.info/ski-resort/cazenovia/,440,0.6,0.7,1,0,0,0,1.4
cooper,cooper skiresort,skicooper,Ski Cooper Snow,skicoopersnow,North America,USA,Colorado,http://www.skiresort.info/ski-resort/cooper/,3566,8,10,8,52,0,32,2.5
crested-butte,crested-butte skiresort,skicrestedbutte,Crested Butte,skicrestedbutte,North America,USA,Colorado,http://www.skiresort.info/ski-resort/crested-butte/,3707,27,69,25,115,104,63,3.7
eaglecrest-juneau,eaglecrest-juneau skiresort,eaglecrestskiarea,Eaglecrest Ski Area,SkiEaglecrest,North America,USA,Alaska,http://www.skiresort.info/ski-resort/eaglecrest-juneau/,820,3.4,6.8,6.8,52,42,28,3
eagle-point,eagle-point skiresort,eaglepoint,Eagle Point,SkiEaglePoint,North America,USA,Utah,http://www.skiresort.info/ski-resort/eagle-point/,3230,6,9,5,65,0,50,3
heavenly,heavenly skiresort,skiheavenly,SkiHeavenly,skiheavenly,North America,USA,Western United States,http://www.skiresort.info/ski-resort/heavenly/,3060,18,42,34,152,125,90,4
homewood-mountain-resort,homewood-mountain-resort skiresort,homewoodmountainresort,Homewood Mountain,skihomewood,North America,USA,Western United States,http://www.skiresort.info/ski-resort/homewood-mountain-resort/,2402,6,13,1,0,0,0,3.3
indianhead-mountain,indianhead-mountain skiresort,indianheadmountainskiing,Indianhead Mountain,SkiIndianhead,North America,USA,Michigan,http://www.skiresort.info/ski-resort/indianhead-mountain/,554,2,3,5,65,0,52,null
jack-frost-mountain,jack-frost-mountain skiresort,ackfrostmountain,Jack Frost Mountain,skiJFBB,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/jack-frost-mountain/,610,6,5.5,0.5,58,0,45,null
liberty-mountain,liberty-mountain skiresort,skilibertymountain,Liberty Mountain Resort,skilibertymtn,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/liberty-mountain/,355,3,4,2,76,0,64,3
lookout-pass,lookout-pass skiresort,lookoutpass,Lookput Pass,skilookout,North America,USA,Idaho,http://www.skiresort.info/ski-resort/lookout-pass/,1675,8,14,9,44,0,32,3
mad-river-mountain,mad-river-mountain skiresort,madrivermountain,Mad River Mountain,SkiMadRiver,North America,USA,Ohio,http://www.skiresort.info/ski-resort/mad-river-mountain/,445,3,2,1.3,45,0,35,2.9
magic-mountain,magic-mountain skiresort,magicmountainskiresort,Magic Mountain,SkiMagicVT,North America,USA,Vermont,http://www.skiresort.info/ski-resort/magic-mountain/,868,7,7,9,67,59,48,3
mt-holly,mt-holly skiresort,mtholly,Mt Holly,SkiMtHolly,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-holly/,380,1,2.5,3.5,43,0,0,null
mount-pleasant,mount-pleasant skiresort,mountpleasant,Mount Pleasant,SkiMtPleasant,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/mount-pleasant/,450,2,2,1,38,0,33,2.8
nashoba-valley,nashoba-valley skiresort,nashobavalley,Nashoba Valley Ski,skinashoba,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/nashoba-valley/,128,1,3,1.8,55,0,0,2.9
pajarito-mountain,pajarito-mountain skiresort,pajaritomountain,Pajarito Mountain,SkiPajarito,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/pajarito-mountain/,3190,8,12,6,49,42,34,null
pine-knob,pine-knob skiresort,pineknob,Pine Knob Ski Resort,SkiPineKnob,North America,USA,Michigan,http://www.skiresort.info/ski-resort/pine-knob/,392,1,2.5,1.5,56,0,0,2.8
purgatory-durango,purgatory-durango skiresort,purgatorydurango,Pugatory Resort,skipurg,North America,USA,Colorado,http://www.skiresort.info/ski-resort/purgatory-durango/,3299,15,40,30,89,70,55,3.6
perfect-north-slopes,perfect-north-slopes skiresort,perfectnorthslopes,Perfect North Slopes,skiridetubepns,North America,USA,Indiana,http://www.skiresort.info/ski-resort/perfect-north-slopes/,244,3,1,1,0,0,0,null
santa-fe,santa-fe skiresort,santafeski,Ski Santa Fe,SkiSantaFe,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/santa-fe/,3679,9,15,10,75,60,52,3
sapphire-valley,sapphire-valley skiresort,sapphirevalleyskiresort,Ski Sapphire Valley,SkiSapphire,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/sapphire-valley/,1005,0.5,0,0,40,0,23,3
shawnee-mountain,shawnee-mountain skiresort,shawneemountain,Shawnee Mountain,skishawnee,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/shawnee-mountain/,350,4,9,5,62,0,45,3.2
snow-creek,snow-creek skiresort,snowcreekskiresort,Snow Creek,skisnowcreek,North America,USA,Missouri,http://www.skiresort.info/ski-resort/snow-creek/,335,1.3,1.8,0.1,44,0,29,2.9
snow-snake,snow-snake skiresort,snowsnake,Snow Snake,SkiSnowSnake,North America,USA,Michigan,http://www.skiresort.info/ski-resort/snow-snake/,365,1,1.5,0.5,32,0,0,2.4
snowstar,snowstar skiresort,snowstarski,Snowstar Winter Park,SkiSnowstar,North America,USA,Illinois,http://www.skiresort.info/ski-resort/snowstar/,235,0.5,1.5,2,35,0,30,2.9
snow-valley,snow-valley skiresort,snowvalley,Snow Valley Resort,SkiSnowValley,North America,USA,California,http://www.skiresort.info/ski-resort/snow-valley/,2390,4,20,10,79,69,35,3.3
soda-springs,soda-springs skiresort,sodaspringsskiresort,Soda Springs,skisodasprings,North America,USA,Western United States,http://www.skiresort.info/ski-resort/soda-springs/,2232,3,5,2,39,39,29,3
sunlight-mountain,sunlight-mountain skiresort,sunlightmountain,Sunlight Mtn. Resort,skisunlight,North America,USA,Colorado,http://www.skiresort.info/ski-resort/sunlight-mountain/,3015,4,11,5,63,0,45,3
swiss-valley,swiss-valley skiresort,swissvalley,Swiss Valley,skiswissvalley,North America,USA,Michigan,http://www.skiresort.info/ski-resort/swiss-valley/,360,0.4,1.1,0.3,42,0,30,null
tenney-mountain,tenney-mountain skiresort,tenneymountain,TENNEY Mountain,SkiTENNEY,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/tenney-mountain/,655,3,8,4,0,0,0,null
beaver-mountain,beaver-mountain skiresort,beavermountain,Beaver Mountain,skithebeav,North America,USA,Utah,http://www.skiresort.info/ski-resort/beaver-mountain/,2700,10,12,8,48,0,38,3
mt-lemmon-ski-valley,mt-lemmon-ski-valley skiresort,mtlemmonskivalley,Mt. Lemmon Ski,skithelemmon,North America,USA,Arizona,http://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,2750,2.5,4,2,40,0,20,3
titus-mountain,titus-mountain skiresort,titusmountain,Titus Mountain,SkiTitusMtn,North America,USA,New York,http://www.skiresort.info/ski-resort/titus-mountain/,423,10,10,7,45,45,35,2.9
turner-mountain,turner-mountain skiresort,turnermountain,Turner Mountain Ski Area,SkiTurnerMT,North America,USA,Montana,http://www.skiresort.info/ski-resort/turner-mountain/,1814,2.1,5.5,6.2,37,25,20,null
west-mountain,west-mountain skiresort,westmountainskiresort,West Mountain,skiwestmountain,North America,USA,New York,http://www.skiresort.info/ski-resort/west-mountain/,435,5.9,2.1,1.7,59,49,45,3
whiteface-lake-placid,whiteface-lake-placid skiresort,whitefacelakeplacid,Whiteface Mountain ,SkiWhiteface,North America,USA,New York,http://www.skiresort.info/ski-resort/whiteface-lake-placid/,1340,7,15,13,94,74,58,3
whitefish-mountain-resort,whitefish-mountain-resort skiresort,whitefishmountainresort,Whitefish Mtn Resort,SkiWhitefish,North America,USA,Montana,http://www.skiresort.info/ski-resort/whitefish-mountain-resort/,2078,18,46,27,79,68,40,3.5
wildcat-mountain,wildcat-mountain skiresort,wildcatmountain,Wildcat Mountain,skiwildcat,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/wildcat-mountain/,1238,9.4,22.1,14,85,0,64,3.5
wild-mountain,wild-mountain skiresort,wildmountainskiarea,Wild Mountain/TF Rec,skiwildmtn,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/wild-mountain/,320,1.1,1.6,2.1,51,0,40,null
sky-tavern,sky-tavern skiresort,skytavern,Sky Tavern,skytavern,North America,USA,Nevada,http://www.skiresort.info/ski-resort/sky-tavern/,2517,0,0,0,0,0,0,null
spring-mountain,spring-mountain skiresort,springmountain,Spruce Mountain,SMHSopinions,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/spring-mountain/,150,4,2.5,2,48,0,0,3
snowbasin,snowbasin skiresort,snowbasinskipatrol,Snowbasin Resort,snowbasinresort,North America,USA,Utah,http://www.skiresort.info/ski-resort/snowbasin/,2850,5,28,15,99,0,55,3.9
snowbird,snowbird skiresort,snowbird,Snowbird,Snowbird,North America,USA,Utah,http://www.skiresort.info/ski-resort/snowbird/,3353,27,38,38,129,0,61,3.7
snowhaven,snowhaven skiresort,snowhaven,snowhaven resort,SNOWHAVENHQ,North America,USA,Idaho,http://www.skiresort.info/ski-resort/snowhaven/,1730,1.5,0.5,0,25,0,0,null
snow-king-mountain-jackson,snow-king-mountain-jackson skiresort,snowkingmountain,Snow King Mountain,SnowKingMTN,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,2380,3,2.5,3.5,55,0,35,3
snowmass,snowmass skiresort,snowmassski,Snowmass,Snowmass,North America,USA,Colorado,http://www.skiresort.info/ski-resort/snowmass/,3813,14.2,111,111,169,0,112,4
snow-ridge,snow-ridge skiresort,snowridge,Snow Ridge,SnowRidgeSki,North America,USA,New York,http://www.skiresort.info/ski-resort/snow-ridge/,540,2,3,5,39,0,30,null
snowshoe-mountain,snowshoe-mountain skiresort,snowshoemountain,Snowshoe Mountain,snowshoemtn,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/snowshoe-mountain/,1478,14,11,6,99,87,82,3.5
snow-trails,snow-trails skiresort,snowtrails,Snow Trails,SnowTrails,North America,USA,Ohio,http://www.skiresort.info/ski-resort/snow-trails/,440,1.5,2.8,1,49,0,39,3
snowy-range,snowy-range skiresort,snowyrangeski,Snowy Range Ski Area,snowyrangeski,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/snowy-range/,2945,4.5,9,3,45,39,28,3
soldier-mountain,soldier-mountain skiresort,soldiermountain,Soldier Mountain,SoldierMountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/soldier-mountain/,2188,9,8,8,38,0,22,3
solitude,solitude skiresort,solitudeskiresort,Solitude Mountain Resort,SolitudeMTN,North America,USA,Utah,http://www.skiresort.info/ski-resort/solitude/,3000,20,30,14,88,56,0,3.8
spirit-mountain,spirit-mountain skiresort,spiritmountain,Spirit Mountain,spiritmtduluth,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/spirit-mountain/,390,4,5,2,49,0,39,3.6
alpine-meadows,alpine-meadows skiresort,alpinemeadows,Squaw Valley Alpine Meadows,squawalpine,North America,USA,Western United States,http://www.skiresort.info/ski-resort/alpine-meadows/,2632,25,40,35,159,134,98,4
squaw-valley,squaw-valley skiresort,squawvalleyskiresort,Squaw Valley Alpine Meadows,squawalpine,North America,USA,Western United States,http://www.skiresort.info/ski-resort/squaw-valley/,2760,25,45,30,129,112,78,4
