Resort Name,,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
aspen-highlands,Aspen Highlands Ski Resort - Aspen Skiing Company,North America,USA,Colorado,http://www.skiresort.info/ski-resort/aspen-highlands/,3559,24.3,40.5,70.2,169,0,112,4
Aspen Mountain Ski Resort - Aspen Skiing Company,Aspen Mountain Ski Resort - Aspen Skiing Company,North America,USA,Colorado,http://www.skiresort.info/ski-resort/aspen-mountain/,3418,0,49,54,169,0,112,4
attitash-mountain-resort,Attitash Mountain Resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/attitash-mountain-resort/,716,7.4,17.4,12.2,85,0,64,3.3
ausblick-sussex,Ausblick,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/ausblick-sussex/,350,0.8,0.6,0,30,0,0,2.5
badger-mountain,Badger Mountain,North America,USA,Washington State,http://www.skiresort.info/ski-resort/badger-mountain/,1158,2,0.5,0,10,10,10,
Yosemite Ski & Snowboard Area,Yosemite Ski & Snowboard Area,North America,USA,California,http://www.skiresort.info/ski-resort/badger-pass/,2440,3.5,5,1.5,47,42,29.5,2.9
bald-mountain,Bald Mountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/bald-mountain/,1463,3,4,2,20,0,17,1.4
bald-mountain-sun-valley,Sun Valley,North America,USA,Idaho,http://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,2788,35,40,17,125,0,75,3.9
bear-creek-mountain-resort,Bear Creek Mountain Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,335,3,4,3,67,0,58,3
bear-mountain-big-bear-lake,Bear Mountain Ski Resort,North America,USA,California,http://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,2684,8,11.2,8,89,73,36,3.4
bear-paw-ski-bowl,Bear Paw Ski Bowl,North America,USA,Montana,http://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,1609,3,6,1,20,0,18,
bear-valley,Skyline Bear Valley Mountain Resort,North America,USA,California,http://www.skiresort.info/ski-resort/bear-valley/,2590,17,27,23,79,68,32,3.4
bears-den-mountain-fort-ransom,Bear's Den Mountain,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/bears-den-mountain-fort-ransom/,430,2,2,0,25,0,21,
beartooth-basin,Beartooth Basin Summer Ski Area,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/beartooth-basin/,3322,0,2,3,45,0,0,1.5
beaver-creek,Beaver Creek Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/beaver-creek/,3488,28.5,64.5,57,189,0,130,4
beaver-mountain,Beaver Mountain Ski Area,North America,USA,Utah,http://www.skiresort.info/ski-resort/beaver-mountain/,2700,10,12,8,48,0,38,3
beech-mountain,Beech Mountain Ski Resort,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/beech-mountain/,1678,3,7,4,65,0,45,3.3
belleayre-mountain,Belleayre Mountain Ski Center,North America,USA,New York,http://www.skiresort.info/ski-resort/belleayre-mountain/,1045,5,11,4,68,58,46,3.6
berkshire-east,Berkshire East Mountain Resort,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/berkshire-east/,561,6,4,3,62,52,42,
Ski Big Bear at Masthope Mountain,Ski Big Bear at Masthope Mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,450,3,2,2,59,0,45,3
big-boulder,Big Boulder Mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-boulder/,663,3,1,0,58,0,45,
big-creek-ski-area,Big Creek Ski Area,North America,USA,Ohio,http://www.skiresort.info/ski-resort/big-creek-ski-area/,320,1,0,0,0,0,0,
big-powderhorn-mountain,Big Powderhorn Mountain Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/big-powderhorn-mountain/,540,3.5,3.5,3,65,54,44,
big-sky-resort,Big Sky Resort,North America,USA,Montana,http://www.skiresort.info/ski-resort/big-sky-resort/,3398,55,69,126,135,115,86,3.6
big-squaw,Big Squaw Mountain Ski Area,North America,USA,Maine,http://www.skiresort.info/ski-resort/big-squaw/,933,3,3,2,30,0,25,
big-tupper-tupper-lake,Big Tupper Ski Area,North America,USA,New York,http://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,1082,5,5,2,0,0,0,
bigrock-mountain,BigRock Mountain,North America,USA,Maine,http://www.skiresort.info/ski-resort/bigrock-mountain/,498,2,14,4,38,27,17,3
bittersweet,Bittersweet Ski Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/bittersweet/,324,,,,44,0,36,
black-mountain-jackson,Black Mountain Ski Area,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/black-mountain-jackson/,570,6,4,2,55,42,38,
black-mountain-rumford,Black Mountain of Maine,North America,USA,Maine,http://www.skiresort.info/ski-resort/black-mountain-rumford/,650,2,3.5,2.5,29,0,0,2.7
blackhawk-ski-club-middleton,Blackhawk Ski Area West Chalet,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,328,0.6,0.2,0,0,0,0,1
