Resort Name,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
indian-lake,North America,USA,New York,http://www.skiresort.info/ski-resort/indian-lake/,599,0.6,0.3,0,0,0,0,1.5
indianhead-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/indianhead-mountain/,554,2,3,5,65,0,52,
jack-frost-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/jack-frost-mountain/,610,6,5.5,0.5,58,0,45,
jackson-hole,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/jackson-hole/,3185,16,50,50,149,0,91,3.6
jay-peak,North America,USA,Vermont,http://www.skiresort.info/ski-resort/jay-peak/,1175,15,31,30,82,0,64,3.2
jerrys-heliski-alaska,North America,USA,Alaska,http://www.skiresort.info/ski-resort/jerrys-heliski-alaska/,0,,,,0,0,0,
jiminy-peak,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/jiminy-peak/,725,4.1,2,3,81,70,61,
june-mountain,North America,USA,California,http://www.skiresort.info/ski-resort/june-mountain/,3075,2.1,12.9,20.7,109,89,0,3.6
kelly-canyon,North America,USA,Idaho,http://www.skiresort.info/ski-resort/kelly-canyon/,2030,4,5,3,40,0,32,3
kendall-mountain-silverton,North America,USA,Colorado,http://www.skiresort.info/ski-resort/kendall-mountain-silverton/,3000,1,0.5,0.2,20,0,15,3
kettlebowl,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/kettlebowl/,542,0.3,1.1,0,5,3,2,1
keyes-peak-florence,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/keyes-peak-florence/,450,0.5,0,0,12,0,8,
keystone,North America,USA,Colorado,http://www.skiresort.info/ski-resort/keystone/,3651,25,65,45,159,0,92,4
killington,North America,USA,Vermont,http://www.skiresort.info/ski-resort/killington/,1285,37.4,43,46,115,0,89,3.7
king-pine-purity-spring-resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,240,2.8,1.5,1,55,0,38,2.9
kirkwood,North America,USA,Western United States,http://www.skiresort.info/ski-resort/kirkwood/,2987,15,30,20,119,107,87,3.2
kissing-bridge,North America,USA,New York,http://www.skiresort.info/ski-resort/kissing-bridge/,520,4.5,4.8,8.5,60,0,50,3
labrador-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/labrador-mountain/,570,6,6,5,53,0,43,2.9
lake-city-ski-hill,North America,USA,Colorado,http://www.skiresort.info/ski-resort/lake-city-ski-hill/,2771,0.7,0.3,0,15,0,7,1.5
las-vegas-ski-and-snowboard-resort-lee-canyon,North America,USA,Nevada,http://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,2856,0.3,5,2,70,0,60,2.8
las-vegas-wet-planned,North America,USA,Nevada,http://www.skiresort.info/ski-resort/las-vegas-wet-planned/,0,,,,0,0,0,
laurel-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/laurel-mountain/,837,4,3,1,53,0,43,2.9
leavenworth-ski-hill,North America,USA,Washington State,http://www.skiresort.info/ski-resort/leavenworth-ski-hill/,520,1,0,0,18,0,14,1
liberty-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/liberty-mountain/,355,3,4,2,76,0,64,3
little-ski-hill,North America,USA,Idaho,http://www.skiresort.info/ski-resort/little-ski-hill/,1700,1.4,0,0,15,0,12,
little-switzerland-ski-resort,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/little-switzerland-ski-resort/,380,1.1,1.3,0.6,44,0,32,2.6
living-memorial-park-brattleboro,North America,USA,Vermont,http://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,189,0.5,0,0,5,0,0,1.5
lonesome-pine-trails-fort-kent,North America,USA,Maine,http://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,299,1,1.6,2,20,0,17,1.4
lookout-pass,North America,USA,Idaho,http://www.skiresort.info/ski-resort/lookout-pass/,1675,8,14,9,44,0,32,3
loon-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/loon-mountain/,930,13,26,6,95,83,71,3.8
lost-trail-powder-mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,2550,15,25,10,42,0,32,3
lost-valley,North America,USA,Maine,http://www.skiresort.info/ski-resort/lost-valley/,166,1,0.5,0.5,45,0,40,3
loup-loup-ski-bowl,North America,USA,Washington State,http://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,1620,3,5,3,48,37,27,2.8
loveland,North America,USA,Colorado,http://www.skiresort.info/ski-resort/loveland/,3871,12,38,43,75,0,32,3
lutsen-mountains,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/lutsen-mountains/,503,8,19,13,82,0,67,3.6
lyndon-outing-club,North America,USA,Vermont,http://www.skiresort.info/ski-resort/lyndon-outing-club/,380,1.5,1,0.1,15,0,10,1.4
lynx-creek,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/lynx-creek/,0,,,,0,0,0,
mad-river-glen,North America,USA,Vermont,http://www.skiresort.info/ski-resort/mad-river-glen/,1108,14,17,15,82,0,68,3
mad-river-mountain,North America,USA,Ohio,http://www.skiresort.info/ski-resort/mad-river-mountain/,445,3,2,1.3,45,0,35,2.9
magic-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/magic-mountain/,868,7,7,9,67,59,48,3
magic-mountain-resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/magic-mountain-resort/,2207,3.5,3,4,31,0,22,
mammoth-mountain,North America,USA,California,http://www.skiresort.info/ski-resort/mammoth-mountain/,3369,18.4,48.5,22.9,159,130,64,4
maple-ski-ridge,North America,USA,New York,http://www.skiresort.info/ski-resort/maple-ski-ridge/,250,0.3,0.8,0.3,0,0,0,
marquette-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/marquette-mountain/,390,1.5,5,3.5,46,0,41,3
massanutten,North America,USA,Virginia,http://www.skiresort.info/ski-resort/massanutten/,871,2,3.5,2.5,70,0,60,2.9
maverick-mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/maverick-mountain/,2596,6,8,6,36,0,22,3
mccauly-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/mccauly-mountain/,700,3,4,2,30,0,25,2.4
mcintyre,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mcintyre/,155,2.5,0.5,0,36,0,32,3
meadowlark-ski-lodge,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,2828,3,4,3,45,38,27,3
meany-lodge,North America,USA,Washington State,http://www.skiresort.info/ski-resort/meany-lodge/,1027,1,1,0,0,0,0,
middlebury-college-snow-bowl,North America,USA,Vermont,http://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,810,5,4,6,55,45,15,3
missaukee-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/missaukee-mountain/,0,,,,0,0,0,
mohawk-mountain,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mohawk-mountain/,454,3,2,3,60,0,52,3
monarch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/monarch/,3630,5,14,12,74,45,30,3
mont-du-lac,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mont-du-lac/,280,0.5,1.4,2,39.99,0,24.99,
mont-ripley,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mont-ripley/,330,2,2.2,2.7,45,0,40,2.7
montage-mountain-resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/montage-mountain-resort/,594,2,4,3.5,62,0,49,3
montana-snowbowl,North America,USA,Montana,http://www.skiresort.info/ski-resort/montana-snowbowl/,2316,5,12,14,47,44,20,2.9
moose-mountain,North America,USA,Alaska,http://www.skiresort.info/ski-resort/moose-mountain/,595,3,12,10,39,34,29,1
mott-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mott-mountain/,0,,,,0,0,0,
mount-greylock-south-williamstown,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/mount-greylock-south-williamstown/,481,1.2,3,0.6,0,0,0,1
mount-pleasant,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/mount-pleasant/,450,2,2,1,38,0,33,2.8
mount-prospect-lancaster,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mount-prospect-lancaster/,520,0.5,0.3,0,7,0,5,1
mount-ski-gull,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/mount-ski-gull/,443,0.7,0.7,0.7,31,0,24,2.5
mount-snow,North America,USA,Vermont,http://www.skiresort.info/ski-resort/mount-snow/,1095,6,46,8,95,0,75,3.7
mountain-creek-vernon,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/mountain-creek-vernon/,451,4,14,6,69,0,53.99,3.4
mountain-high-east,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-east/,2496,2,5,4,74,0,35,3.9
mountain-high-north,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-north/,2287,2,3,0,74,0,35,3
mountain-high-west,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-west/,2410,3,5,7,74,0,35,3.4
mt-abram,North America,USA,Maine,http://www.skiresort.info/ski-resort/mt-abram/,610,3.5,7,4,59,0,49,
mt-ashland,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-ashland/,2286,1,7,5,46,0,36,3
mt-ashwabay-salmo,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,389,1.5,1.2,1.3,24,0,18,2.7
mt-bachelor,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-bachelor/,2763,15,25,60,96,78,54,4
mt-bailey,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-bailey/,0,,,,350,0,0,
mt-baker,North America,USA,Washington State,http://www.skiresort.info/ski-resort/mt-baker/,1525,24,45,31,62,40,30,3
mt-baldy,North America,USA,California,http://www.skiresort.info/ski-resort/mt-baldy/,2620,3,6,11,69,49,39,3
mt-bohemia,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-bohemia/,445,0,3,10,59,0,0,3
mt-brighton,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-brighton/,340,1,3.5,1.7,63,0,0,2.7
mt-eustis-littleton,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mt-eustis-littleton/,0,,,,0,0,0,
mt-eyak,North America,USA,Alaska,http://www.skiresort.info/ski-resort/mt-eyak/,366,1,2,2,30,0,20,3
mt-holiday,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-holiday/,274,1,2,1.5,32,0,26,2.6
mt-holly,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-holly/,380,1,2.5,3.5,43,0,0,
mt-hood-meadows,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-hood-meadows/,2225,13.5,45,31.5,82,0,49,3.9
mt-hood-skibowl,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-hood-skibowl/,1510,15,15,35,53,0,32,2.9
mt-jefferson,North America,USA,Maine,http://www.skiresort.info/ski-resort/mt-jefferson/,230,3,4,2.5,20,0,15,1.4
mt-kato,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/mt-kato/,313,2.5,4.5,5,41,0,33,2.9
mt-la-crosse,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mt-la-crosse/,372,1.5,3,2.5,51,0,48,2.9
mt-lemmon-ski-valley,North America,USA,Arizona,http://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,2750,2.5,4,2,40,0,20,3
mt-mc-sauba,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-mc-sauba/,0,,,,0,0,0,
mt-peter,North America,USA,New York,http://www.skiresort.info/ski-resort/mt-peter/,330,1,2,0.8,49,0,42,2.9
mt-pisgah,North America,USA,New York,http://www.skiresort.info/ski-resort/mt-pisgah/,627,1,0,0,20,0,0,1.5
mt-rose,North America,USA,Western United States,http://www.skiresort.info/ski-resort/mt-rose/,2957,20,30,50,125,0,75,3.5
mt-shasta-ski-park,North America,USA,California,http://www.skiresort.info/ski-resort/mt-shasta-ski-park/,2100,5,8,10,58,0,32,3
mt-southington,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mt-southington/,173,2,3,0.8,58,0,48,3
mt-spokane,North America,USA,Washington State,http://www.skiresort.info/ski-resort/mt-spokane/,1795,7,5,14,55,0,45,3
mt-sunapee,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mt-sunapee/,828,8,16,6,84,67,57,3.6
mt-waterman,North America,USA,California,http://www.skiresort.info/ski-resort/mt-waterman/,2440,2,2,6,50,40,20,3
mt-zion-hill,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-zion-hill/,0,,,,0,0,0,
mulligans-hollow-ski-bowl,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,233,1,1,1,16,0,0,
mystic-mountain-farmington,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/mystic-mountain-farmington/,619,2.3,1,0.6,43,0,35,2.9
nashoba-valley,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/nashoba-valley/,128,1,3,1.8,55,0,0,2.9
navarino-hills,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/navarino-hills/,270,0.5,0.3,0,27,0,10,2.4
nor-ski-runs-decorah,North America,USA,Iowa,http://www.skiresort.info/ski-resort/nor-ski-runs-decorah/,0,,,,0,0,0,
nordic-mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/nordic-mountain/,346,2,3,1.5,44,0,30,2.6
nordic-valley,North America,USA,Utah,http://www.skiresort.info/ski-resort/nordic-valley/,1930,2.5,4,3,45,0,35,3
north-bicentennial-park,North America,USA,Alaska,http://www.skiresort.info/ski-resort/north-bicentennial-park/,0,,,,0,0,0,
north-cascade-heliskiing-mazama,North America,USA,Washington State,http://www.skiresort.info/ski-resort/north-cascade-heliskiing-mazama/,2700,,,,0,0,0,1
northeast-slopes-east-corinth,North America,USA,Vermont,http://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,355,1.2,1,0,15,0,0,1.2
northstar-california-resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/northstar-california-resort/,2624,25,45,27,152,125,90,4.1
norway-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/norway-mountain/,406,2.5,3.5,2,45,37,25,2.8
nubs-nob-ski-area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/nubs-nob-ski-area/,403,6.2,9,3.7,80,68,57,3
nutt-hill-plymouth,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/nutt-hill-plymouth/,309,0.2,0,0,0,0,0,1
oak-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/oak-mountain/,740,6,4,2,38,0,27,2.8
ober-gatlinburg,North America,USA,Tennessee,http://www.skiresort.info/ski-resort/ober-gatlinburg/,1006,0.5,2,0.5,65,0,55,
oglebay-resort,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/oglebay-resort/,0,1,0,0,26,0,21,3
okemo,North America,USA,Vermont,http://www.skiresort.info/ski-resort/okemo/,1019,22,26,22,110,97,84,3.7
otis-ridge,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/otis-ridge/,480,1.2,1.5,1,40,35,15,2.5
otsego-gaylord,North America,USA,Michigan,http://www.skiresort.info/ski-resort/otsego-gaylord/,422,3,2,2,65,55,50,3
pajarito-mountain,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/pajarito-mountain/,3190,8,12,6,49,42,34,
pando-park,North America,USA,Michigan,http://www.skiresort.info/ski-resort/pando-park/,300,1,0.3,0,22,0,19,
paoli-peaks,North America,USA,Indiana,http://www.skiresort.info/ski-resort/paoli-peaks/,251,2.6,3,1,42,0,36,3
park-city,North America,USA,Utah,http://www.skiresort.info/ski-resort/park-city/,3049,27,152,71,145,0,93,3.9
pats-peak,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/pats-peak/,426,10,8,15,66,0,56,2.9
paul-bunyan-ski-hill,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/paul-bunyan-ski-hill/,0,,,,0,0,0,
pebble-creek,North America,USA,Idaho,http://www.skiresort.info/ski-resort/pebble-creek/,2609,6,9,4,43,0,29,3
peekn-peak,North America,USA,New York,http://www.skiresort.info/ski-resort/peekn-peak/,535,4,8,3,59,0,46,
perfect-north-slopes,North America,USA,Indiana,http://www.skiresort.info/ski-resort/perfect-north-slopes/,244,3,1,1,0,0,0,
petoskey-winter-sports-park,North America,USA,Michigan,http://www.skiresort.info/ski-resort/petoskey-winter-sports-park/,241,0.2,0,0,0,0,0,
pico-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/pico-mountain/,1209,6.8,15,8.6,74,0,57,3.8
pine-creek,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/pine-creek/,2508,4,7,5,43,0,38,3
pine-knob,North America,USA,Michigan,http://www.skiresort.info/ski-resort/pine-knob/,392,1,2.5,1.5,56,0,0,2.8
pine-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/pine-mountain/,461,2.5,5.5,1.5,45,37,25,2.9
pinnacle-park-pittsfield,North America,USA,Maine,http://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,96,0.3,0.2,0.2,0,0,0,1
plattekill,North America,USA,New York,http://www.skiresort.info/ski-resort/plattekill/,1014,4.5,6,6,61,50,48,2.9
plumas-eureka-ski-bowl,North America,USA,California,http://www.skiresort.info/ski-resort/plumas-eureka-ski-bowl/,1874,1,0.2,0.1,0,0,0,
plumtree-ski-hill-fawnridge,North America,USA,Illinois,http://www.skiresort.info/ski-resort/plumtree-ski-hill-fawnridge/,0,,,,0,0,0,
points-north-heli-adventures,North America,USA,Alaska,http://www.skiresort.info/ski-resort/points-north-heli-adventures/,0,,,,0,0,0,
polar-peak,North America,USA,New York,http://www.skiresort.info/ski-resort/polar-peak/,196,1,0.5,0.4,0,0,0,1
pomerelle,North America,USA,Idaho,http://www.skiresort.info/ski-resort/pomerelle/,2640,4,7,4,38,0,29,3
porcupine-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/porcupine-mountain/,415,3.2,3.5,3,39,0,30,
potawatomi-park,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/potawatomi-park/,0,,,,0,0,0,
powder-mountain,North America,USA,Utah,http://www.skiresort.info/ski-resort/powder-mountain/,2712,30,50,55,85,0,47,3.2
powder-ridge,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/powder-ridge/,432,2,1.5,0.5,48,0,0,2.8
powder-ridge-mountain-park-resort,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,245,2.5,2,1,55,0,44,3
powderbird,North America,USA,Utah,http://www.skiresort.info/ski-resort/powderbird/,0,,,,0,0,0,
powderhorn,North America,USA,Colorado,http://www.skiresort.info/ski-resort/powderhorn/,3000,5,15,18,71,60,35,3.6
powderhouse-hill-south-berwick,North America,USA,Maine,http://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,80,0.5,0,0,5,0,0,1
powers-bluff,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/powers-bluff/,436,1,0,0,8,0,0,1
purgatory-durango,North America,USA,Colorado,http://www.skiresort.info/ski-resort/purgatory-durango/,3299,15,40,30,89,70,55,3.6
quadna-mountain,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/quadna-mountain/,0,,,,0,0,0,
quechee-lakes-ski-area,North America,USA,Vermont,http://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,380,2,2.5,0.5,36,0,32,2.8
quoggy-jo-ski-center-presque-isle,North America,USA,Maine,http://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,275,0.8,0,0,8,0,0,1.5
ragged-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/ragged-mountain/,680,4.5,10,8,79,65,55,3.9
raging-buffalo-algonquin,North America,USA,Illinois,http://www.skiresort.info/ski-resort/raging-buffalo-algonquin/,260,0.3,0.2,0,45,0,0,1
ravenswood,North America,USA,Alaska,http://www.skiresort.info/ski-resort/ravenswood/,0,,,,0,0,0,
red-hill-moultonborough,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/red-hill-moultonborough/,260,0.4,0.4,0.2,0,0,0,1
red-lodge-mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/red-lodge-mountain/,2870,11,30,24,53,42,22,3.4
red-river,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/red-river/,3135,7,6,7,73,67,57,3
riverside-hills,North America,USA,Iowa,http://www.skiresort.info/ski-resort/riverside-hills/,0,,,,0,0,0,
riverview-highlands,North America,USA,Michigan,http://www.skiresort.info/ski-resort/riverview-highlands/,0,,,,0,0,0,
rocking-horse-ranch,North America,USA,New York,http://www.skiresort.info/ski-resort/rocking-horse-ranch/,214,0.3,0,0,0,0,0,1
rotarun,North America,USA,Idaho,http://www.skiresort.info/ski-resort/rotarun/,1790,1,2,1.5,20,0,10,1.5
roundtop,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/roundtop/,410,1.5,3,3,68,0,56,3
royal-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/royal-mountain/,533,2.5,3,2,40,0,30,3
ruby-mountain,North America,USA,Nevada,http://www.skiresort.info/ski-resort/ruby-mountain/,3350,,,,0,0,0,
saddleback,North America,USA,Maine,http://www.skiresort.info/ski-resort/saddleback/,1220,4,8,10,69,0,59,2.9
sahalie-ski-club,North America,USA,Washington State,http://www.skiresort.info/ski-resort/sahalie-ski-club/,966,1,0.5,0,0,0,0,
sand-master-park-florence,North America,USA,Oregon,http://www.skiresort.info/ski-resort/sand-master-park-florence/,40,0,0,0.1,25,0,0,1
sandia-peak,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/sandia-peak/,3140,8,20,3,55,45,40,2.8
santa-fe,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/santa-fe/,3679,9,15,10,75,60,52,3
sapphire-valley,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/sapphire-valley/,1005,0.5,0,0,40,0,23,3
sawkill-ski,North America,USA,New York,http://www.skiresort.info/ski-resort/sawkill-ski/,0,,,,40,0,33,
sawmill-mountain-resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/sawmill-mountain-resort/,620,0.9,2.5,1,37,0,30,2.6
schweitzer-mountain-resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,1950,20,40,35,79,0,50,3.6
scotch-valley-resort,North America,USA,New York,http://www.skiresort.info/ski-resort/scotch-valley-resort/,0,,,,0,0,0,
seacoast-snow-park,North America,USA,Maine,http://www.skiresort.info/ski-resort/seacoast-snow-park/,0,,,,0,0,0,
seven-oaks,North America,USA,Iowa,http://www.skiresort.info/ski-resort/seven-oaks/,330,1.5,2,0.5,36,0,27,3
seven-springs,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/seven-springs/,915,6,7,4,87,0,67,3.3
shanty-creek-resorts-schuss-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,356,5,4,3,69,59,54,3
shanty-creek-resorts-summit-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/shanty-creek-resorts-summit-mountain/,300,0.8,2.5,0.7,69,59,54,3
shawnee-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/shawnee-mountain/,350,4,9,5,62,0,45,3.2
shawnee-peak,North America,USA,Maine,http://www.skiresort.info/ski-resort/shawnee-peak/,550,4,12,7,65,0,50,3
showdown,North America,USA,Montana,http://www.skiresort.info/ski-resort/showdown/,2500,6,8,6,45,40,25,3
shu-maker-mountain-little-falls,North America,USA,New York,http://www.skiresort.info/ski-resort/shu-maker-mountain-little-falls/,0,,,,0,0,0,
sierra-at-tahoe,North America,USA,Western United States,http://www.skiresort.info/ski-resort/sierra-at-tahoe/,2698,12,23,11.5,104,94,43,3
sierra-summit,North America,USA,California,http://www.skiresort.info/ski-resort/sierra-summit/,0,,,,0,0,0,
silver-mountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/silver-mountain/,1920,4,8,13,60,0,45,3.8
silver-ridge,North America,USA,Michigan,http://www.skiresort.info/ski-resort/silver-ridge/,0,,,,0,0,0,
silverton-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/silverton-mountain/,3790,,,,59,0,0,
sipapu,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/sipapu/,2825,3,7,8,45,39,29,2.8
sitzmark,North America,USA,Washington State,http://www.skiresort.info/ski-resort/sitzmark/,1485,2,3,2.5,35,28,22,2.8
ski-brule,North America,USA,Michigan,http://www.skiresort.info/ski-resort/ski-brule/,565,2,4,1.5,49,0,43,2.7
skiland-mt-aurora,North America,USA,Alaska,http://www.skiresort.info/ski-resort/skiland-mt-aurora/,745,4,9,4,35,0,20,3
sky-tavern,North America,USA,Nevada,http://www.skiresort.info/ski-resort/sky-tavern/,2517,,,,0,0,0,
skyline-friendship,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/skyline-friendship/,392,1,0.4,0.3,0,0,0,1.4
sleeping-giant,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/sleeping-giant/,2265,3,8,6,34,26,16,2.7
sleepy-hollow-sports-park-des-moines,North America,USA,Iowa,http://www.skiresort.info/ski-resort/sleepy-hollow-sports-park-des-moines/,286,0.5,0.4,0.3,0,0,0,2.8
smugglers-notch,North America,USA,Vermont,http://www.skiresort.info/ski-resort/smugglers-notch/,1112,13,41,24,80,0,64,3
snoebahn-centennial,North America,USA,Colorado,http://www.skiresort.info/ski-resort/snoebahn-centennial/,1710,0.1,0,0,40,0,35,
snow-creek,North America,USA,Missouri,http://www.skiresort.info/ski-resort/snow-creek/,335,1.3,1.8,0.1,44,0,29,2.9
snow-hill-at-eastman,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/snow-hill-at-eastman/,420,0.5,0.5,0,0,0,0,
snow-king-mountain-jackson,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,2380,3,2.5,3.5,55,0,35,3
snow-ridge,North America,USA,New York,http://www.skiresort.info/ski-resort/snow-ridge/,540,2,3,5,39,0,30,
snow-snake,North America,USA,Michigan,http://www.skiresort.info/ski-resort/snow-snake/,365,1,1.5,0.5,32,0,0,2.4
snow-summit-big-bear-lake,North America,USA,California,http://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,2500,10,12,7,89,73,36,3.4
snow-trails,North America,USA,Ohio,http://www.skiresort.info/ski-resort/snow-trails/,440,1.5,2.8,1,49,0,39,3
snow-valley,North America,USA,California,http://www.skiresort.info/ski-resort/snow-valley/,2390,4,20,10,79,69,35,3.3
snowbasin,North America,USA,Utah,http://www.skiresort.info/ski-resort/snowbasin/,2850,5,28,15,99,0,55,3.9
snowbird,North America,USA,Utah,http://www.skiresort.info/ski-resort/snowbird/,3353,27,38,38,129,0,61,3.7
snowhaven,North America,USA,Idaho,http://www.skiresort.info/ski-resort/snowhaven/,1730,1.5,0.5,0,25,0,0,
snowmass,North America,USA,Colorado,http://www.skiresort.info/ski-resort/snowmass/,3813,14.2,111,111,169,0,112,4
snowshoe-mountain,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/snowshoe-mountain/,1478,14,11,6,99,87,82,3.5
snowstar,North America,USA,Illinois,http://www.skiresort.info/ski-resort/snowstar/,235,0.5,1.5,2,35,0,30,2.9
snowy-range,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/snowy-range/,2945,4.5,9,3,45,39,28,3
