Resort Name,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
beaver-mountain,North America,USA,Utah,http://www.skiresort.info/ski-resort/beaver-mountain/,2700,10,12,8,48,0,38,3
beech-mountain,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/beech-mountain/,1678,3,7,4,65,0,45,3.3
beef-trail,North America,USA,Montana,http://www.skiresort.info/ski-resort/beef-trail/,0,,,,0,0,0,
belleayre-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/belleayre-mountain/,1045,5,11,4,68,58,46,3.6
berkshire-east,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/berkshire-east/,561,6,4,3,62,52,42,
big-bear-at-masthope-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,450,3,2,2,59,0,45,3
big-boulder,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-boulder/,663,3,1,0,58,0,45,
big-creek-ski-area,North America,USA,Ohio,http://www.skiresort.info/ski-resort/big-creek-ski-area/,320,1,0,0,0,0,0,
big-powderhorn-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/big-powderhorn-mountain/,540,3.5,3.5,3,65,54,44,
big-sky-resort,North America,USA,Montana,http://www.skiresort.info/ski-resort/big-sky-resort/,3398,55,69,126,135,115,86,3.6
big-squaw,North America,USA,Maine,http://www.skiresort.info/ski-resort/big-squaw/,933,3,3,2,30,0,25,
big-tupper-tupper-lake,North America,USA,New York,http://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,1082,5,5,2,0,0,0,
bigrock-mountain,North America,USA,Maine,http://www.skiresort.info/ski-resort/bigrock-mountain/,498,2,14,4,38,27,17,3
bittersweet,North America,USA,Michigan,http://www.skiresort.info/ski-resort/bittersweet/,324,,,,44,0,36,
black-mountain-jackson,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/black-mountain-jackson/,570,6,4,2,55,42,38,
black-mountain-rumford,North America,USA,Maine,http://www.skiresort.info/ski-resort/black-mountain-rumford/,650,2,3.5,2.5,29,0,0,2.7
black-rapid,North America,USA,Alaska,http://www.skiresort.info/ski-resort/black-rapid/,0,,,,0,0,0,
blackhawk-ski-club-middleton,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,328,0.6,0.2,0,0,0,0,1
blackjack,North America,USA,Michigan,http://www.skiresort.info/ski-resort/blackjack/,510,2,4,4,65,0,52,
blacktail-mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/blacktail-mountain/,2066,3,11,3,40,28,19,
blandford,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/blandford/,440,2,2,1,44,0,39,
blue-hills,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/blue-hills/,180,1.5,1,0.5,45,0,0,
blue-knob,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/blue-knob/,960,5,8,3,62,0,50,
blue-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/blue-mountain/,470,10,6,2,85,0,70,
bluewood,North America,USA,Washington State,http://www.skiresort.info/ski-resort/bluewood/,1730,3,5,3,39,0,32,
bogus-basin,North America,USA,Idaho,http://www.skiresort.info/ski-resort/bogus-basin/,2311,11,22,17,59,49,25,3.7
bolton-valley,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bolton-valley/,960,15,10,5,74,0,64,2
boreal,North America,USA,Western United States,http://www.skiresort.info/ski-resort/boreal/,2357,6,11,3,64,44,34,3.3
boston-mills,North America,USA,Ohio,http://www.skiresort.info/ski-resort/boston-mills/,270,0.5,0.5,0.5,43,0,38,
bottineau-winter-park,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/bottineau-winter-park/,740,0.8,0.3,0.2,35,30,20,
bousquet,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/bousquet/,566,3,2,3,47,0,0,
boyce-park,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/boyce-park/,380,1,0,0,22,16,8,
boyne-highlands,North America,USA,Michigan,http://www.skiresort.info/ski-resort/boyne-highlands/,408,4,3,3,89,79,69,3.2
boyne-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/boyne-mountain/,372,4.5,6,3.5,89,79,69,3.1
bradford,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/bradford/,80,1.5,1.5,1,52,0,0,
brandywine,North America,USA,Ohio,http://www.skiresort.info/ski-resort/brandywine/,270,1,0.7,0.3,43,0,38,
brantling-ski-slopes,North America,USA,New York,http://www.skiresort.info/ski-resort/brantling-ski-slopes/,210,0.7,0.3,0,32,0,29,
breckenridge,North America,USA,Colorado,http://www.skiresort.info/ski-resort/breckenridge/,3914,28,60,65,164,0,107,4
bretton-woods,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/bretton-woods/,945,25,16,15,89,68,53,3.8
brian-head,North America,USA,Utah,http://www.skiresort.info/ski-resort/brian-head/,3328,22,24,25,69,0,50,3.3
bridger-bowl-bozeman,North America,USA,Montana,http://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,2682,20,26,25,60,0,22,3
brighton,North America,USA,Utah,http://www.skiresort.info/ski-resort/brighton/,3200,10,18,38,79,0,49,4.1
